Area,Job_titles
Computer support specialist,Computer technician
Computer support specialist,Help desk technician
Computer support specialist,Desktop support specialist
Computer support specialist,IT support specialist
Computer support specialist,IT technician
Computer support specialist,Problem manager
Computer support specialist,Operations analyst
Computer support specialist,Technical specialist
Computer support specialist,Support specialist
Computer support specialist,Computer operator
Information technology analyst,Systems designer
Information technology analyst,Senior systems analyst
Information technology analyst,Application support analyst
Information technology analyst,Systems analyst
Information technology analyst,IT coordinator
Information technology analyst,IT manager
Information technology analyst,Solutions architect
Web developer,Web designer
Web developer,Web engineer
Web developer,Web producers
Web developer,Web development manager
Web developer,Web development project manager
Web developer,User experience (UX) designer
Web developer,User interface (UI) designer
Web developer,UX/UI researcher
Web developer,UX/UI specialist
Web developer,Webmaster
Web developer,Web producer
Web developer,Web project manager
Web developer,Web content manager
Web developer,Multimedia architect
Web developer,Web analytics developer
Web developer,Search engine optimization (SEO) consultant
Web developer,SEO manager
Web developer,Internet engineer
Web developer,Interaction designer
Web developer,Front-end designer
Web developer,Front-end developer
Web developer,Mobile developer
Web developer,Full-stack developer
Information security specialist,Security specialist
Information security specialist,IT security analyst
Information security specialist,Network security engineer
Information security specialist,Information security analyst
Information security specialist,Information security engineer
Information security specialist,Information security manager
Information security specialist,Information security consultant
Information security specialist,Information security project manager
Information security specialist,Information security program manager
Information security specialist,Management information director
Information security specialist,Cyber security specialist
Information security specialist,Cyber security manager
Information security specialist,Computer forensic investigator
Database administrator,Database developer
Database administrator,Database analyst
Database administrator,Database manager
Database administrator,Database engineer
Database administrator,Database specialist
Database administrator,Database coordinator
Database administrator,Data quality manager
Database administrator,Data modeler
Database administrator,Data scientist
Database administrator,Data architect
Database administrator,Information architect
Database administrator,Computer data scientist
Software developer,Software engineer
Software developer,Software architect
Software developer,Software test engineer
Software developer,Software development manager
Software developer,Software development engineer
Software developer,Artificial intelligence engineer
Software developer,Application developer
Software developer,Application designer
Software developer,Application engineer
Software developer,DevOps engineer
Software developer,Computer programmer
Software developer,Lead programmer
Software developer,Iteration manager
Software developer,Frameworks specialist
Software developer,Game developer
Cloud engineer,Cloud systems engineer
Cloud engineer,Cloud computing engineer
Cloud engineer,Cloud architect
Cloud engineer,Cloud system administrator
Cloud engineer,Cloud consultant
Cloud engineer,Cloud services provider
Cloud engineer,Cloud services developer
Cloud engineer,Cloud product manager
